sample_id	taxon_id	reads
SRR10484443	1796646	4760
SRR10484448	1796646	1574
SRR10484454	1796646	83
SRR10484459	1796646	335
SRR10484371	171551	3
SRR10484376	171551	0
SRR10484377	171551	0
SRR10484382	171551	2
SRR10484388	171551	11
SRR10484393	171551	3
SRR10484399	171551	0
SRR10484404	171551	22
SRR10484410	171551	0
SRR10484415	171551	29
SRR10484421	171551	0
SRR10484426	171551	0
SRR10484431	171551	0
SRR10484432	171551	0
SRR10484437	171551	0
SRR10484443	171551	3
SRR10484448	171551	25
SRR10484454	171551	0
SRR10484459	171551	0
SRR10484371	836	31
SRR10484376	836	29
SRR10484377	836	57
SRR10484382	836	75
SRR10484388	836	10
SRR10484393	836	13
SRR10484399	836	3
SRR10484404	836	23
SRR10484410	836	28
SRR10484415	836	167
SRR10484421	836	67
SRR10484426	836	1
SRR10484431	836	8
SRR10484432	836	3
SRR10484437	836	0
SRR10484443	836	59
SRR10484448	836	16
SRR10484454	836	2
SRR10484459	836	7
SRR10484371	837	783
SRR10484376	837	528
SRR10484377	837	1121
SRR10484382	837	949
SRR10484388	837	364
SRR10484393	837	315
SRR10484399	837	50
SRR10484404	837	811
SRR10484410	837	445
SRR10484415	837	5135
SRR10484421	837	744
SRR10484426	837	60
SRR10484431	837	50
SRR10484432	837	38
SRR10484437	837	23
SRR10484443	837	946
SRR10484448	837	755
SRR10484454	837	62
SRR10484459	837	101
SRR10484371	28123	620
SRR10484376	28123	277
SRR10484377	28123	480
SRR10484382	28123	2018
SRR10484388	28123	356
SRR10484393	28123	122
SRR10484399	28123	31
SRR10484404	28123	219
SRR10484410	28123	66
SRR10484415	28123	210
SRR10484421	28123	113
SRR10484426	28123	18
SRR10484431	28123	20
SRR10484432	28123	48
SRR10484437	28123	6
SRR10484443	28123	171
SRR10484448	28123	189
SRR10484454	28123	25
SRR10484459	28123	80
SRR10484371	393921	303
SRR10484376	393921	55
SRR10484377	393921	377
SRR10484382	393921	204
SRR10484388	393921	89
SRR10484393	393921	79
SRR10484399	393921	23
SRR10484404	393921	163
SRR10484410	393921	58
SRR10484415	393921	359
SRR10484421	393921	366
SRR10484426	393921	5
SRR10484431	393921	26
SRR10484432	393921	11
SRR10484437	393921	10
SRR10484443	393921	272
SRR10484448	393921	93
SRR10484454	393921	11
SRR10484459	393921	31
SRR10484371	1642646	715
SRR10484376	1642646	466
SRR10484377	1642646	937
SRR10484382	1642646	1357
SRR10484388	1642646	1163
SRR10484393	1642646	297
SRR10484399	1642646	48
SRR10484404	1642646	511
